dim,nthreads,prec,N,cpu_time_ns,real_time_ns,cpu_time_stddev_ns,repetitions,time_unit,l2_cache_bytes,l3_cache_bytes
2,1,f,2000.0,20907863.999999955,21301422.699798424,908701.427020217,8,ns,1048576,16777216
2,1,d,3000.0,97644931.40000017,98251175.99993974,4043453.1836366854,8,ns,1048576,16777216
2,1,f,3000.0,51369380.70000002,51771257.49996776,770201.4460982069,8,ns,1048576,16777216
2,1,d,4500.0,256645541.80000004,257376537.6000665,8974886.737774972,8,ns,1048576,16777216
2,1,f,4500.0,140365230.19999978,140886202.69994864,4641037.992987722,8,ns,1048576,16777216
2,1,d,8192.0,952987566.8000017,955211698.0999928,33577962.95994569,8,ns,1048576,16777216
2,1,f,8192.0,505855740.50000024,506777054.1001665,2682767.0973984348,8,ns,1048576,16777216
2,1,d,12000.0,2793608806.7000017,2796365474.899904,158080512.71150568,8,ns,1048576,16777216
2,1,f,12000.0,1205360427.4999998,1207943403.2000792,127966276.34124851,8,ns,1048576,16777216
2,1,d,16384.0,6306394755.599991,6316077490.800126,111910657.64167796,8,ns,1048576,16777216
2,1,f,16384.0,2362077594.9999995,2364547924.5999017,134265140.5010956,8,ns,1048576,16777216
2,16,d,10.0,796.4999999999969,802.3998816497624,27.545494835167723,8,ns,1048576,16777216
2,16,f,10.0,716.4000000000043,720.4002031357959,97.43450547493156,8,ns,1048576,16777216
2,16,d,15.0,1286.400000000045,1290.399995923508,20.024395835386706,8,ns,1048576,16777216
2,16,f,15.0,1114.1000000000536,1118.1000445503742,18.311881388865814,8,ns,1048576,16777216
2,16,d,24.0,2270.300000000022,2273.3000150765297,17.429347172414403,8,ns,1048576,16777216
2,16,f,24.0,1704.2000000000098,1709.199932520278,28.324648528929664,8,ns,1048576,16777216
2,16,d,36.0,5185.800000000011,5192.800017539412,47.453247668458445,8,ns,1048576,16777216
2,16,f,36.0,3603.799999999996,3607.7999538974836,26.83237649876963,8,ns,1048576,16777216
2,16,d,54.0,12096.69999999996,12106.800022593234,309.5338061389492,8,ns,1048576,16777216
2,16,f,54.0,8427.900000000047,8435.800009465313,23.815001274866443,8,ns,1048576,16777216
2,16,d,80.0,23532.100000000013,23540.300026070327,717.7922854140894,8,ns,1048576,16777216
2,16,f,80.0,16398.800000000032,16403.900008299388,342.8714544631133,8,ns,1048576,16777216
2,16,d,120.0,53953.09999999993,53946.50015659863,22526.694034221473,8,ns,1048576,16777216
2,16,f,120.0,37256.89999999997,37264.100137690555,708.9751390966142,8,ns,1048576,16777216
2,16,d,180.0,144223.59999999995,144237.30008275015,1779.1015724248166,8,ns,1048576,16777216
2,16,f,180.0,90566.90000000013,90564.39994310496,873.6944071831023,8,ns,1048576,16777216
2,16,d,256.0,64031.19999999971,66927.90011584293,849.2807742857328,8,ns,1048576,16777216
2,16,f,256.0,44612.59999999981,50110.2000271203,2131.5379516413022,8,ns,1048576,16777216
2,16,d,384.0,121262.40000000094,223217.79997582783,44540.74536472236,8,ns,1048576,16777216
2,16,f,384.0,79796.40000000052,85296.50003765711,30445.193423499222,8,ns,1048576,16777216
2,16,d,600.0,271631.19999999984,288203.1001718133,2464.4014671784935,8,ns,1048576,16777216
2,16,f,600.0,182286.8000000005,279338.4999677073,16528.35597059495,8,ns,1048576,16777216
2,16,d,900.0,692886.2000000037,803296.3000005112,101735.2142595957,8,ns,1048576,16777216
2,16,f,900.0,391876.09999999934,406013.9001012431,4275.700072334043,8,ns,1048576,16777216
2,16,d,1350.0,2597536.8,3008972.7997619775,70450.23927964344,8,ns,1048576,16777216
2,16,f,1350.0,1123703.5999999978,1157003.700063797,24972.17176823876,8,ns,1048576,16777216
2,16,d,2000.0,7208873.400000027,7944673.300153227,100250.47435520543,8,ns,1048576,16777216
2,16,f,2000.0,3410829.4000000153,3959457.000019029,100378.69792297432,8,ns,1048576,16777216
2,16,d,3000.0,17223023.699999996,19306836.999930967,294996.31214558356,8,ns,1048576,16777216
2,16,f,3000.0,8939212.800000008,10275526.400073433,131278.63075281534,8,ns,1048576,16777216
