dim,prec,M,N_total,N_per_dim,tol,max_sp,subprob,npts,size1,size2,size3,cells,off1,off2,off3
2,d,10000000,9998244,3162,1e-06,2500,128,2500,657,11,1,7227,877,97,0
2,d,10000000,9998244,3162,1e-06,2500,129,2500,647,11,1,7117,1517,97,0
2,d,10000000,9998244,3162,1e-06,2500,130,2500,630,11,1,6930,2143,97,0
2,d,10000000,9998244,3162,1e-06,2500,131,2500,3170,15,1,47550,-3,97,0
2,d,10000000,9998244,3162,1e-06,2500,132,2500,648,11,1,7128,205,101,0
2,d,10000000,9998244,3162,1e-06,2500,133,2500,664,11,1,7304,829,101,0
2,d,10000000,9998244,3162,1e-06,2500,134,2500,647,11,1,7117,1469,101,0
2,d,10000000,9998244,3162,1e-06,2500,135,2500,648,11,1,7128,2093,101,0
2,d,10000000,9998244,3162,1e-06,2500,136,2500,3170,15,1,47550,-3,101,0
2,d,10000000,9998244,3162,1e-06,2500,137,2500,647,11,1,7117,173,105,0
2,d,10000000,9998244,3162,1e-06,2500,138,2500,632,11,1,6952,797,105,0
2,d,10000000,9998244,3162,1e-06,2500,139,2500,647,11,1,7117,1405,105,0
2,d,10000000,9998244,3162,1e-06,2500,140,2500,632,11,1,6952,2029,105,0
2,d,10000000,9998244,3162,1e-06,2500,141,2500,3170,15,1,47550,-3,105,0
2,d,10000000,9998244,3162,1e-06,2500,142,2500,679,11,1,7469,110,109,0
2,d,10000000,9998244,3162,1e-06,2500,143,2500,646,11,1,7106,766,109,0
2,d,10000000,9998244,3162,1e-06,2500,144,2500,630,11,1,6930,1390,109,0
2,d,10000000,9998244,3162,1e-06,2500,145,2500,646,11,1,7106,1998,109,0
2,d,10000000,9998244,3162,1e-06,2500,146,2500,3170,15,1,47550,-3,109,0
2,d,10000000,9998244,3162,1e-06,2500,147,2500,647,11,1,7117,93,113,0
2,d,10000000,9998244,3162,1e-06,2500,148,2500,663,11,1,7293,717,113,0
2,d,10000000,9998244,3162,1e-06,2500,149,2500,648,11,1,7128,1357,113,0
2,d,10000000,9998244,3162,1e-06,2500,150,2500,647,11,1,7117,1982,113,0
2,d,10000000,9998244,3162,1e-06,2500,151,2500,3170,15,1,47550,-3,113,0
2,d,10000000,9998244,3162,1e-06,2500,152,2500,631,11,1,6941,77,117,0
2,d,10000000,9998244,3162,1e-06,2500,153,2500,645,11,1,7095,685,117,0
2,d,10000000,9998244,3162,1e-06,2500,154,2500,648,11,1,7128,1309,117,0
2,d,10000000,9998244,3162,1e-06,2500,155,2500,679,11,1,7469,1933,117,0
2,d,10000000,9998244,3162,1e-06,2500,156,2500,3170,15,1,47550,-3,117,0
2,d,10000000,9998244,3162,1e-06,2500,157,2500,632,11,1,6952,45,121,0
2,d,10000000,9998244,3162,1e-06,2500,158,2500,645,11,1,7095,655,121,0
2,d,10000000,9998244,3162,1e-06,2500,159,2500,648,11,1,7128,1277,121,0
2,d,10000000,9998244,3162,1e-06,2500,160,2500,632,11,1,6952,1901,121,0
2,d,10000000,9998244,3162,1e-06,2500,161,2500,648,11,1,7128,2509,121,0
2,d,10000000,9998244,3162,1e-06,2500,162,2500,3170,15,1,47550,-3,121,0
2,d,10000000,9998244,3162,1e-06,2500,163,2500,632,11,1,6952,605,125,0
2,d,10000000,9998244,3162,1e-06,2500,164,2500,647,11,1,7117,1213,125,0
2,d,10000000,9998244,3162,1e-06,2500,165,2500,647,11,1,7117,1837,125,0
2,d,10000000,9998244,3162,1e-06,2500,166,2500,632,11,1,6952,2461,125,0
2,d,10000000,9998244,3162,1e-06,2500,167,2500,3170,15,1,47550,-3,125,0
2,d,10000000,9998244,3162,1e-06,2500,168,2500,664,11,1,7304,525,129,0
2,d,10000000,9998244,3162,1e-06,2500,169,2500,647,11,1,7117,1166,129,0
2,d,10000000,9998244,3162,1e-06,2500,170,2500,645,11,1,7095,1789,129,0
2,d,10000000,9998244,3162,1e-06,2500,171,2500,632,11,1,6952,2413,129,0
2,d,10000000,9998244,3162,1e-06,2500,172,2500,3170,15,1,47550,-3,129,0
2,d,10000000,9998244,3162,1e-06,2500,173,2500,630,11,1,6930,479,133,0
2,d,10000000,9998244,3162,1e-06,2500,174,2500,648,11,1,7128,1085,133,0
2,d,10000000,9998244,3162,1e-06,2500,175,2500,643,11,1,7073,1710,133,0
2,d,10000000,9998244,3162,1e-06,2500,176,2500,616,11,1,6776,2333,133,0
2,d,10000000,9998244,3162,1e-06,2500,177,2500,3170,15,1,47550,-3,133,0
2,d,10000000,9998244,3162,1e-06,2500,178,2500,647,11,1,7117,397,137,0
2,d,10000000,9998244,3162,1e-06,2500,179,2500,648,11,1,7128,1021,137,0
2,d,10000000,9998244,3162,1e-06,2500,180,2500,661,11,1,7271,1645,137,0
2,d,10000000,9998244,3162,1e-06,2500,181,2500,648,11,1,7128,2285,137,0
2,d,10000000,9998244,3162,1e-06,2500,182,2500,3170,15,1,47550,-3,137,0
2,d,10000000,9998244,3162,1e-06,2500,183,2500,660,11,1,7260,368,141,0
2,d,10000000,9998244,3162,1e-06,2500,184,2500,647,11,1,7117,1006,141,0
2,d,10000000,9998244,3162,1e-06,2500,185,2500,646,11,1,7106,1631,141,0
2,d,10000000,9998244,3162,1e-06,2500,186,2500,648,11,1,7128,2253,141,0
2,d,10000000,9998244,3162,1e-06,2500,187,2500,3170,15,1,47550,-3,141,0
2,d,10000000,9998244,3162,1e-06,2500,188,2500,648,11,1,7128,333,145,0
2,d,10000000,9998244,3162,1e-06,2500,189,2500,639,11,1,7029,965,145,0
2,d,10000000,9998244,3162,1e-06,2500,190,2500,632,11,1,6952,1581,145,0
2,d,10000000,9998244,3162,1e-06,2500,191,2500,648,11,1,7128,2189,145,0
2,d,10000000,9998244,3162,1e-06,2500,192,2500,3170,15,1,47550,-3,145,0
2,d,10000000,9998244,3162,1e-06,2500,193,2500,643,11,1,7073,274,149,0
2,d,10000000,9998244,3162,1e-06,2500,194,2500,632,11,1,6952,893,149,0
2,d,10000000,9998244,3162,1e-06,2500,195,2500,677,11,1,7447,1503,149,0
2,d,10000000,9998244,3162,1e-06,2500,196,2500,664,11,1,7304,2157,149,0
2,d,10000000,9998244,3162,1e-06,2500,197,2500,3169,15,1,47535,-3,149,0
2,d,10000000,9998244,3162,1e-06,2500,198,2500,632,11,1,6952,253,153,0
2,d,10000000,9998244,3162,1e-06,2500,199,2500,654,11,1,7194,870,153,0
2,d,10000000,9998244,3162,1e-06,2500,200,2500,664,11,1,7304,1501,153,0
2,d,10000000,9998244,3162,1e-06,2500,201,2500,630,11,1,6930,2141,153,0
2,d,10000000,9998244,3162,1e-06,2500,202,2500,3170,15,1,47550,-3,153,0
2,d,10000000,9998244,3162,1e-06,2500,203,2500,663,11,1,7293,205,157,0
2,d,10000000,9998244,3162,1e-06,2500,204,2500,632,11,1,6952,845,157,0
2,d,10000000,9998244,3162,1e-06,2500,205,2500,628,11,1,6908,1456,157,0
2,d,10000000,9998244,3162,1e-06,2500,206,2500,640,11,1,7040,2062,157,0
2,d,10000000,9998244,3162,1e-06,2500,207,2500,3170,15,1,47550,-3,157,0
2,d,10000000,9998244,3162,1e-06,2500,208,2500,648,11,1,7128,157,161,0
2,d,10000000,9998244,3162,1e-06,2500,209,2500,652,11,1,7172,782,161,0
2,d,10000000,9998244,3162,1e-06,2500,210,2500,632,11,1,6952,1421,161,0
2,d,10000000,9998244,3162,1e-06,2500,211,2500,644,11,1,7084,2033,161,0
2,d,10000000,9998244,3162,1e-06,2500,212,2500,3170,15,1,47550,-3,161,0
2,d,10000000,9998244,3162,1e-06,2500,213,2500,664,11,1,7304,125,165,0
2,d,10000000,9998244,3162,1e-06,2500,214,2500,629,11,1,6919,765,165,0
2,d,10000000,9998244,3162,1e-06,2500,215,2500,642,11,1,7062,1375,165,0
2,d,10000000,9998244,3162,1e-06,2500,216,2500,648,11,1,7128,1997,165,0
2,d,10000000,9998244,3162,1e-06,2500,217,2500,3170,15,1,47550,-3,165,0
2,d,10000000,9998244,3162,1e-06,2500,218,2500,662,11,1,7282,78,169,0
2,d,10000000,9998244,3162,1e-06,2500,219,2500,632,11,1,6952,717,169,0
2,d,10000000,9998244,3162,1e-06,2500,220,2500,648,11,1,7128,1325,169,0
2,d,10000000,9998244,3162,1e-06,2500,221,2500,647,11,1,7117,1949,169,0
2,d,10000000,9998244,3162,1e-06,2500,222,2500,3170,15,1,47550,-3,169,0
2,d,10000000,9998244,3162,1e-06,2500,223,2500,647,11,1,7117,30,173,0
2,d,10000000,9998244,3162,1e-06,2500,224,2500,648,11,1,7128,653,173,0
2,d,10000000,9998244,3162,1e-06,2500,225,2500,630,11,1,6930,1278,173,0
2,d,10000000,9998244,3162,1e-06,2500,226,2500,623,11,1,6853,1888,173,0
2,d,10000000,9998244,3162,1e-06,2500,227,2500,646,11,1,7106,2494,173,0
2,d,10000000,9998244,3162,1e-06,2500,228,2500,3170,15,1,47550,-3,173,0
2,d,10000000,9998244,3162,1e-06,2500,229,2500,631,11,1,6941,590,177,0
2,d,10000000,9998244,3162,1e-06,2500,230,2500,651,11,1,7161,1208,177,0
2,d,10000000,9998244,3162,1e-06,2500,231,2500,657,11,1,7227,1837,177,0
2,d,10000000,9998244,3162,1e-06,2500,232,2500,646,11,1,7106,2478,177,0
2,d,10000000,9998244,3162,1e-06,2500,233,2500,3169,15,1,47535,-3,177,0
2,d,10000000,9998244,3162,1e-06,2500,234,2500,644,11,1,7084,590,181,0
2,d,10000000,9998244,3162,1e-06,2500,235,2500,647,11,1,7117,1213,181,0
2,d,10000000,9998244,3162,1e-06,2500,236,2500,647,11,1,7117,1838,181,0
2,d,10000000,9998244,3162,1e-06,2500,237,2500,662,11,1,7282,2462,181,0
2,d,10000000,9998244,3162,1e-06,2500,238,2500,3170,15,1,47550,-3,181,0
2,d,10000000,9998244,3162,1e-06,2500,239,2500,629,11,1,6919,559,185,0
2,d,10000000,9998244,3162,1e-06,2500,240,2500,646,11,1,7106,1167,185,0
2,d,10000000,9998244,3162,1e-06,2500,241,2500,646,11,1,7106,1790,185,0
2,d,10000000,9998244,3162,1e-06,2500,242,2500,631,11,1,6941,2413,185,0
2,d,10000000,9998244,3162,1e-06,2500,243,2500,3169,15,1,47535,-2,185,0
2,d,10000000,9998244,3162,1e-06,2500,244,2500,648,11,1,7128,491,189,0
2,d,10000000,9998244,3162,1e-06,2500,245,2500,647,11,1,7117,1117,189,0
2,d,10000000,9998244,3162,1e-06,2500,246,2500,647,11,1,7117,1742,189,0
2,d,10000000,9998244,3162,1e-06,2500,247,2500,664,11,1,7304,2365,189,0
2,d,10000000,9998244,3162,1e-06,2500,248,2500,3170,15,1,47550,-3,189,0
2,d,10000000,9998244,3162,1e-06,2500,249,2500,648,11,1,7128,461,193,0
2,d,10000000,9998244,3162,1e-06,2500,250,2500,647,11,1,7117,1086,193,0
2,d,10000000,9998244,3162,1e-06,2500,251,2500,643,11,1,7073,1710,193,0
2,d,10000000,9998244,3162,1e-06,2500,252,2500,632,11,1,6952,2333,193,0
2,d,10000000,9998244,3162,1e-06,2500,253,2500,3170,15,1,47550,-3,193,0
2,d,10000000,9998244,3162,1e-06,2500,254,2500,664,11,1,7304,413,197,0
2,d,10000000,9998244,3162,1e-06,2500,255,2500,647,11,1,7117,1053,197,0
2,d,10000000,9998244,3162,1e-06,2500,256,2500,647,11,1,7117,1677,197,0
2,d,10000000,9998244,3162,1e-06,2500,257,2500,647,11,1,7117,2301,197,0
2,d,10000000,9998244,3162,1e-06,2500,258,2500,3170,15,1,47550,-3,197,0
2,d,10000000,9998244,3162,1e-06,2500,259,2500,648,11,1,7128,397,201,0
2,d,10000000,9998244,3162,1e-06,2500,260,2500,646,11,1,7106,1022,201,0
2,d,10000000,9998244,3162,1e-06,2500,261,2500,647,11,1,7117,1646,201,0
2,d,10000000,9998244,3162,1e-06,2500,262,2500,660,11,1,7260,2272,201,0
2,d,10000000,9998244,3162,1e-06,2500,263,2500,3170,15,1,47550,-3,201,0
2,d,10000000,9998244,3162,1e-06,2500,264,2500,663,11,1,7293,350,205,0
2,d,10000000,9998244,3162,1e-06,2500,265,2500,632,11,1,6952,989,205,0
2,d,10000000,9998244,3162,1e-06,2500,266,2500,661,11,1,7271,1600,205,0
2,d,10000000,9998244,3162,1e-06,2500,267,2500,672,11,1,7392,2239,205,0
2,d,10000000,9998244,3162,1e-06,2500,268,2500,3170,15,1,47550,-3,205,0
2,d,10000000,9998244,3162,1e-06,2500,269,2500,647,11,1,7117,365,209,0
2,d,10000000,9998244,3162,1e-06,2500,270,2500,662,11,1,7282,989,209,0
2,d,10000000,9998244,3162,1e-06,2500,271,2500,662,11,1,7282,1629,209,0
2,d,10000000,9998244,3162,1e-06,2500,272,2500,647,11,1,7117,2270,209,0
2,d,10000000,9998244,3162,1e-06,2500,273,2500,3169,15,1,47535,-3,209,0
