configuration,prec,dim,size,density,tol,upsampfac,complexity,cpu_time_ns,real_time_ns,time_unit
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.75,240000000.0,216146740.75000018,216709781.37444764,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.8,240000000.0,216303811.5,216862269.9991829,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.85,240000000.0,216090650.99999958,216679550.749177,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.9,240000000.0,216025431.12499982,216607383.12493777,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,1.9500000000000002,240000000.0,216473447.00000027,217027013.12460703,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-08,2.0,240000000.0,216170269.12499958,216747551.12508136,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.25,340000000.0,243284855.87500003,243919141.12493396,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.3,320000000.0,242628470.0000001,243227869.625116,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.35,320000000.0,242121219.24999997,242756616.62431958,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.4,320000000.0,238420937.87499997,239034917.5002484,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.45,320000000.0,238061708.25000006,238670564.12564126,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.5,320000000.0,236487454.7500002,237100933.50018725,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.55,320000000.0,237131304.37500006,237729739.87433943,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.6,320000000.0,250645516.1250001,251294657.24967304,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.65,240000000.0,234947902.7500001,235538116.5016297,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.7,240000000.0,234184194.75000006,234774255.62487042,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.75,240000000.0,234643156.6249998,235242620.24875498,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.8,240000000.0,216474680.25000015,217041012.12526438,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.85,240000000.0,216712212.25000003,217269329.1249743,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.9,240000000.0,215255399.75000018,215812144.75008893,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,1.9500000000000002,240000000.0,214972734.62500033,215517327.24947214,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-10,2.0,240000000.0,215108089.9999993,215653245.24999595,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.25,400000000.0,247345451.75,247974753.75089562,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.3,380000000.0,246329988.62500012,246953971.9986642,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.35,360000000.0,245884894.7500001,246540896.49993694,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.4,340000000.0,246355948.12499973,246978664.7507135,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.45,320000000.0,246498289.37499985,247144104.75098702,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.5,320000000.0,246502473.87500012,247129513.62562308,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.55,320000000.0,246934806.3750001,247584962.6262061,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.6,320000000.0,247635412.25000018,248259377.74949124,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.65,320000000.0,246700872.1249999,247322344.25027853,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.7,320000000.0,237825755.6250003,238455070.6246955,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.75,320000000.0,238289332.1249999,238906497.12484446,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.8,320000000.0,238004076.00000018,238648718.87417394,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.85,320000000.0,238215308.50000006,238839988.2493104,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.9,320000000.0,243126959.6250001,243749997.87505656,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,1.9500000000000002,320000000.0,243547199.12499955,244160723.62510023,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-12,2.0,320000000.0,242909074.75,243541905.7492254,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.25,640000000.0,299022570.25,299894747.12419903,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.3,640000000.0,300151166.8750001,301019525.87392586,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.35,640000000.0,299340418.0000001,300148716.12365824,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.4,480000000.0,295071454.62499994,295921999.49911445,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.45,480000000.0,294737644.0,295602886.87389404,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.5,480000000.0,295209608.25,296039925.8754478,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.55,480000000.0,294615944.7499999,295472426.37454474,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.6,480000000.0,295245453.0000002,296097669.75045204,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.65,480000000.0,294929086.2499998,295720477.00094116,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.7,480000000.0,294770498.0000001,295611609.3755554,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.75,480000000.0,295281359.12500006,296114225.1242563,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.8,480000000.0,294215722.74999976,295033932.7489928,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.85,480000000.0,294885625.50000006,295751443.2509925,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.9,480000000.0,294466028.125,295273018.125954,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,1.9500000000000002,480000000.0,295099529.2499998,295962194.2500235,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.01,2.0,480000000.0,294775230.75,295624716.12553054,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.25,1600000000.0,340272776.5,341269061.1239668,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.3,1600000000.0,342779475.24999994,343780213.8760162,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.35,1600000000.0,363552099.1249999,364538836.1255755,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.4,1600000000.0,341124789.0000002,342134976.99965954,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.45,1600000000.0,342335958.5000001,343471379.9997553,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.5,1600000000.0,342043951.875,343075187.2510882,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.55,640000000.0,305129915.7499998,306067245.6249449,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.6,640000000.0,304859151.37500006,305751483.2489687,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.65,640000000.0,303936250.25000006,304798256.873255,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.7,640000000.0,305073541.7499997,305965733.9999831,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.75,640000000.0,304131695.87500024,305033285.7492322,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.8,640000000.0,303673734.12499976,304523406.250155,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.85,640000000.0,305446884.0000002,306354695.75099707,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.9,640000000.0,303781310.24999976,304637862.1256736,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,1.9500000000000002,640000000.0,304608637.1249999,305520916.2503161,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.001,2.0,640000000.0,305541671.6249999,306455712.24886227,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.25,2240000000.0,380500006.24999994,381519011.6256417,ns
