dim,density,nthreads,max_sp,M,N_total,rep,spread_s,cycles_total,gather_pct,spread_pct,add_pct,other_pct,gather_cycles,spread_cycles,add_cycles,gather_ms,spread_ms,add_ms
1,16,8,445204,44739242,2796202,0,0.162,21637454021,14.42,5.23,0.1,79.77,3.1201e+09,1.1316e+09,2.1637e+07,118.28,42.9,0.82
1,16,8,1577898,44739242,2796202,0,0.192,22240834673,14.72,5.06,0.09,79.7,3.2739e+09,1.1254e+09,2.0017e+07,142.24,48.89,0.87
1,16,8,5592405,44739242,2796202,0,0.281,22680325968,14.55,4.92,0.1,80.15,3.3000e+09,1.1159e+09,2.2680e+07,208.92,70.64,1.44
1,16,all,10000,44739242,2796202,0,0.0567,65290302279,13.68,2.8,0.46,82.55,8.9317e+09,1.8281e+09,3.0034e+08,45.79,9.37,1.54
1,16,all,23383,44739242,2796202,0,0.0618,65384132850,14.09,3.14,0.27,82.02,9.2126e+09,2.0531e+09,1.7654e+08,49.76,11.09,0.95
1,16,all,54677,44739242,2796202,0,0.0803,65486643727,15.35,2.29,0.22,81.59,1.0052e+10,1.4996e+09,1.4407e+08,69.01,10.3,0.99
1,16,all,127851,44739242,2796202,0,0.093,68836837901,15.8,2.18,0.23,81.04,1.0876e+10,1.5006e+09,1.5832e+08,80.69,11.13,1.17
1,16,all,298956,44739242,2796202,0,0.105,69209638212,15.19,2.14,0.23,81.68,1.0513e+10,1.4811e+09,1.5918e+08,90.83,12.8,1.38
1,16,all,699051,44739242,2796202,0,0.121,67738523546,16.73,1.96,0.2,80.44,1.1333e+10,1.3277e+09,1.3548e+08,107.16,12.55,1.28
1,32,1,10000,44739242,1398101,0,0.943,16275240364,13.45,6.71,0.05,80.23,2.1890e+09,1.0921e+09,8.1376e+06,627.58,313.09,2.33
1,32,1,53720,44739242,1398101,0,1.06,16522094504,13.3,8.13,0.06,79.04,2.1974e+09,1.3432e+09,9.9133e+06,656.03,401.01,2.96
1,32,1,288586,44739242,1398101,0,0.962,16303660775,13.96,6.61,0.03,79.72,2.2760e+09,1.0777e+09,4.8911e+06,651.92,308.68,1.4
1,32,1,1550291,44739242,1398101,0,0.974,16350879370,14.22,6.82,0.05,79.08,2.3251e+09,1.1151e+09,8.1754e+06,656.72,314.97,2.31
1,32,1,8328195,44739242,1398101,0,1.05,16728202400,15.03,6.6,0.06,78.52,2.5142e+09,1.1041e+09,1.0037e+07,727.59,319.5,2.9
1,32,1,44739242,44739242,1398101,0,1.16,16972513032,14.58,6.46,0.07,79.48,2.4746e+09,1.0964e+09,1.1881e+07,801.17,354.98,3.85
